HXK1	3359.509103
HXK2	69.30243678
GLK1	1558.898513
PGI1	1755.905747
PFK1	461.5303104
FBA1	14387.19542
TPI1	2769.635653
TDH3	3580.368822
TDH1	41145.01618
TDH2	830.2064054
PGK1	24168.69045
GPM1	8304.855415
GPM2	108.6799547
ENO1	15303.00316
ENO2	6450.636734
CDC19	7216.431884
PYK2	63.48615603
PDC6	105.3234023
PDC5	479.5671474
PDC1	6236.919935
ALD5	72.23343926
ALD2	194.350459
ALD6	2264.853463
ADH1	16501.84491
ADH2	1597.091347
ADH3	246.6969089
ADH4	49.95438441
ADH5	95.92634269
RHR2	747.7240872
GPD1	573.7696935
GPD2	435.1328464
